"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","State and Province","Duration","Growth Habit","Native Status","Bloom Period"
"BEPAP","","BEPAP","Betula papyrifera var. papyrifera","","Betula","","papyrifera","","","","var.","","papyrifera","","","","","Marshall","Marshall","","","","USA (AK, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, OR, PA, RI, SD, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Perennial","Tree","L48 (N), AK (N), CAN (N), SPM (N)",""
"BEPE3","","BEPE3","Betula pendula","","Betula","","pendula","","","","","","","","","","","Roth","","","","","USA (CO, CT, IA, IL, IN, KY, MA, ME, MI, NC, NH, NJ, NY, OH, OR, PA, VA, VT, WA, WI), CAN (BC, MB, NB, NS, ON, PE)","Perennial","Tree","L48 (I), CAN (I)","Mid Spring"
"BEUT","","BEUT","Betula ×utahensis","","Betula","×","utahensis","","","","","","","","","","","Britton (pro sp.)","","","","[occidentalis × papyrifera]","USA (CO, ID, MT, OR, UT, WA, WY), CAN (BC, SK)","Perennial","Tree, Shrub","L48 (N), CAN (N)",""
"BIDEN","","BIDEN","Bidens","","Bidens","","","","","","","","","","","","","","","","","","USA (, AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT)","","","",""
"BIAR","","BIAR","Bidens aristosa","","Bidens","","aristosa","","","","","","","","","","","(Michx.) Britton","","","","","USA (AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV), CAN (ON)","Annual, Biennial","Forb/herb","L48 (N), CAN (I)","Late Summer"
"BIBI","","BIBI","Bidens bigelovii","","Bidens","","bigelovii","","","","","","","","","","","A. Gray","","","","","USA (AZ, CO, NM, OK, TX)","Annual","Forb/herb","L48 (N)",""
"BIBIB2","","BIBIB2","Bidens bigelovii var. bigelovii","","Bidens","","bigelovii","","","","var.","","bigelovii","","","","","A. Gray","A. Gray","","","","USA (AZ, CO, NM, OK, TX)","Annual","Forb/herb","L48 (N)",""
"BIBI7","","BIBI7","Bidens bipinnata","","Bidens","","bipinnata","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV), CAN (NB, ON)","Annual","Forb/herb","L48 (N), CAN (I)",""
"BICE","","BICE","Bidens cernua","","Bidens","","cernua","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT)","Annual","Forb/herb","L48 (N), AK (I), CAN (N)","Late Summer"
"BIFR","","BIFR","Bidens frondosa","","Bidens","","frondosa","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK)","Annual","Forb/herb","L48 (N), AK (I), CAN (I)","Late Summer"
"BITE","","BITE","Bidens tenuisecta","","Bidens","","tenuisecta","","","","","","","","","","","A. Gray","","","","","USA (AZ, CO, ID, MA, MD, NM, NY, TX, UT)","Annual","Forb/herb","L48 (N)",""
"BITR","","BITR","Bidens tripartita","","Bidens","","tripartita","","","","","","","","","","","L.","","","","","USA (AK, AL, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, NB, NS, ON, PE, QC)","Annual","Forb/herb","L48 (N), AK (N), CAN (N)","Late Summer"
"BIVU","","BIVU","Bidens vulgata","","Bidens","","vulgata","","","","","","","","","","","Greene","","","","","USA (AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, QC, SK)","Annual","Forb/herb","L48 (N), CAN (N)",""
"BLEPH4","","BLEPH4","Blepharoneuron","","Blepharoneuron","","","","","","","","","","","","","","","","","","USA (AZ, CO, NM, TX, UT)","","","",""
"BLTR","","BLTR","Blepharoneuron tricholepis","","Blepharoneuron","","tricholepis","","","","","","","","","","","(Torr.) Nash","","","","","USA (AZ, CO, NM, TX, UT)","Perennial","Graminoid","L48 (N)","Mid Spring"
"BOERH2","","BOERH2","Boerhavia","","Boerhavia","","","","","","","","","","","","","","","","","","USA (, AL, AR, AZ, CA, CO, FL, FM, GA, HI, LA, MD, MH, MO, MS, NC, NM, NV, OK, SC, TN, TX, UM, UT, VA), USA+ (PR, VI)","","","",""
"BOER","","BOER","Boerhavia erecta","","Boerhavia","","erecta","","","","","","","","","","","L.","","","","","USA (, AL, AR, AZ, CO, FL, GA, LA, MD, MO, MS, NC, NM, OK, SC, TN, TX), USA+ (PR, VI)","Annual, Perennial","Forb/herb","L48 (N), PR (N), VI (N)",""
"BOLBO","","BOLBO","Bolboschoenus","","Bolboschoenus","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)","","","",""
"BOFL3","","BOFL3","Bolboschoenus fluviatilis","","Bolboschoenus","","fluviatilis","","","","","","","","","","","(Torr.) Soják","","","","","USA (AL, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, SD, TN, UT, VA, VT, WA, WI, WV), CAN (AB, BC, MB, NB, ON, QC, SK)","Perennial","Graminoid","L48 (N), CAN (N)",""
"BOMA7","","BOMA7","Bolboschoenus maritimus","","Bolboschoenus","","maritimus","","","","","","","","","","","(L.) Palla","","","","","USA (AK, AZ, CA, CO, CT, HI, IA, ID, IL, KS, LA, MA, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VA, VT, WA, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)","Perennial","Graminoid","L48 (N), AK (N), HI (N), CAN (N), SPM (I)",""
"BOMAP4","","BOMAP4","Bolboschoenus maritimus ssp. paludosus","","Bolboschoenus","","maritimus","ssp.","","paludosus","","","","","","","","(L.) Palla","(A. Nelson) T. Koyama","","","","USA (AK, AZ, CA, CO, CT, HI, IA, ID, IL, KS, MA, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OK, OR, RI, SD, TX, UT, WA, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Perennial","Graminoid","L48 (N), AK (N), HI (N), CAN (N)",""
"BOTHR","","BOTHR","Bothriochloa","","Bothriochloa","","","","","","","","","","","","","","","","","","USA (, AL, AR, AZ, CA, CO, FL, GA, HI, IL, IN, KS, KY, LA, MD, MO, MS, NE, NM, NV, NY, OH, OK, SC, TN, TX, UM, UT), USA+ (PR, VI)","","","",""
"BOBA3","","BOBA3","Bothriochloa barbinodis","","Bothriochloa","","barbinodis","","","","","","","","","","","(Lag.) Herter","","","","","USA (AZ, CA, CO, FL, HI, NM, NV, OK, SC, TX, UT)","Perennial","Graminoid","L48 (N), HI (I)","Indeterminate"
"BOBL","","BOBL","Bothriochloa bladhii","","Bothriochloa","","bladhii","","","","","","","","","","","(Retz.) S.T. Blake","","","","","USA (CO, FL, HI, KS, LA, MO, NE, NM, OH, OK, TX)","Perennial","Graminoid","L48 (I), HI (I)","Mid Summer"
"BOIS","","BOIS","Bothriochloa ischaemum","","Bothriochloa","","ischaemum","","","","","","","","","","","(L.) Keng","","","","","USA (AL, AR, AZ, CA, CO, FL, GA, KS, LA, MS, NM, NY, OH, OK, SC, TN, TX, UT), USA+ (PR, VI)","Perennial","Graminoid","L48 (I), PR (I), VI (I)",""
"BOISS","","BOISS","Bothriochloa ischaemum var. songarica","","Bothriochloa","","ischaemum","","","","var.","","songarica","","","","","(L.) Keng","(Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan","","","","USA (AL, AR, AZ, CA, CO, FL, KS, LA, MS, NM, NY, OK, SC, TN, TX, UT), USA+ (PR, VI)","Perennial","Graminoid","L48 (I), PR (I), VI (I)",""
"BOLA2","","BOLA2","Bothriochloa laguroides","","Bothriochloa","","laguroides","","","","","","","","","","","(DC.) Herter","","","","","USA (AL, AR, AZ, CA, CO, FL, GA, HI, IL, IN, KS, KY, LA, MO, MS, NE, NM, NV, OH, OK, SC, TN, TX, UT)","Perennial","Graminoid","L48 (NI), HI (I)",""
"BOLAT","","BOLAT","Bothriochloa laguroides ssp. torreyana","","Bothriochloa","","laguroides","ssp.","","torreyana","","","","","","","","(DC.) Herter","(Steud.) Allred & Gould","","","","USA (AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, KY, LA, MO, MS, NE, NM, NV, OK, SC, TN, TX, UT)","Perennial","Graminoid","L48 (N)",""
"BOSP3","","BOSP3","Bothriochloa springfieldii","","Bothriochloa","","springfieldii","","","","","","","","","","","(Gould) Parodi","","","","","USA (AZ, CO, LA, NM, TX, UT)","Perennial","Graminoid","L48 (N)",""
"BOTRY","","BOTRY","Botrychium","","Botrychium","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"BOCA5","","BOCA5","Botrychium campestre","","Botrychium","","campestre","","","","","","","","","","","W.H. Wagner & Farrar","","","","","USA (CO, IA, ID, IL, MI, MN, MT, ND, NE, NY, OR, SD, WA, WI, WY), CAN (AB, NB, ON, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"BOEC","","BOEC","Botrychium echo","","Botrychium","","echo","","","","","","","","","","","W.H. Wagner","","","","","USA (AZ, CO, NM, UT)","Perennial","Forb/herb","L48 (N)",""
"BOHE5","","BOHE5","Botrychium hesperium","","Botrychium","","hesperium","","","","","","","","","","","(Maxon & R.T. Clausen) W.H. Wagner & Lellinger","","","","","USA (AZ, CO, MI, MN, MT, NM, OR, UT, WA, WY), CAN (AB, BC, ON, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"BOLA","","BOLA","Botrychium lanceolatum","","Botrychium","","lanceolatum","","","","","","","","","","","(S.G. Gmel.) Angstr.","","","","","USA (AK, AZ, CA, CO, CT, ID, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, NB, NF, NS, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N), SPM (N)",""
"BOLAL","","BOLAL","Botrychium lanceolatum var. lanceolatum","","Botrychium","","lanceolatum","","","","var.","","lanceolatum","","","","","(S.G. Gmel.) Angstr.","(S.G. Gmel.) Angstr.","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, LB, NF, QC, SK, YT), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"BOLI7","","BOLI7","Botrychium lineare","","Botrychium","","lineare","","","","","","","","","","","W.H. Wagner","","","","","USA (AK, CA, CO, ID, MT, NM, OR, WA), CAN (AB, NB, QC)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"BOLU","","BOLU","Botrychium lunaria","","Botrychium","","lunaria","","","","","","","","","","","(L.) Sw.","","","","","USA (AK, AZ, CA, CO, ID, ME, MI, MN, MT, ND, NH, NM, NV, NY, OR, PA, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N), SPM (N)",""
"BOMI","","BOMI","Botrychium minganense","","Botrychium","","minganense","","","","","","","","","","","Victorin","","","","","USA (AK, AZ, CA, CO, ID, ME, MI, MN, MT, ND, NH, NM, NV, NY, OR, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"BOMU","","BOMU","Botrychium multifidum","","Botrychium","","multifidum","","","","","","","","","","","(S.G. Gmel.) Trevis.","","","","","USA (AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N), SPM (N)",""
"BOPA12","","BOPA12","Botrychium pallidum","","Botrychium","","pallidum","","","","","","","","","","","W.H. Wagner","","","","","USA (CO, ME, MI, MN, MT), CAN (AB, MB, ON, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"BOPI","","BOPI","Botrychium pinnatum","","Botrychium","","pinnatum","","","","","","","","","","","H. St. John","","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, MB, NT, SK, YT), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"BOSI","","BOSI","Botrychium simplex","","Botrychium","","simplex","","","","","","","","","","","E. Hitchc.","","","","","USA (AK, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MS, MT, NC, ND, NH, NJ, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, NB, NF, NS, NT, ON, PE, QC, SK), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"BOVI","","BOVI","Botrychium virginianum","","Botrychium","","virginianum","","","","","","","","","","","(L.) Sw.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)","Late Spring"
"BOUTE","","BOUTE","Bouteloua","","Bouteloua","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, ON, SK)","","","",""
"BOBA2","","BOBA2","Bouteloua barbata","","Bouteloua","","barbata","","","","","","","","","","","Lag.","","","","","USA (AZ, CA, CO, KS, MD, MT, NM, NV, OK, OR, TX, UT)","Annual","Graminoid","L48 (N)",""
"BOCU","","BOCU","Bouteloua curtipendula","","Bouteloua","","curtipendula","","","","","","","","","","","(Michx.) Torr.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Graminoid","L48 (N), HI (I), CAN (N)","Mid Spring"
"BOCUC","","BOCUC","Bouteloua curtipendula var. caespitosa","","Bouteloua","","curtipendula","","","","var.","","caespitosa","","","","","(Michx.) Torr.","Gould & Kapadia","","","","USA (AZ, CA, CO, NM, OK, TX, UT)","Perennial","Graminoid","L48 (N)",""
"BOCUC2","","BOCUC2","Bouteloua curtipendula var. curtipendula","","Bouteloua","","curtipendula","","","","var.","","curtipendula","","","","","(Michx.) Torr.","(Michx.) Torr.","","","","USA (AL, AR, AZ, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Graminoid","L48 (N), HI (I), CAN (N)",""
"BODA2","","BODA2","Bouteloua dactyloides","","Bouteloua","","dactyloides","","","","","","","","","","","(Nutt.) J.T. Columbus","","","","","USA (AR, AZ, CO, GA, IA, IL, KS, LA, MN, MO, MT, ND, NE, NM, NV, OK, SD, TX, UT, VA, WI, WY), CAN (MB, SK)","Perennial","Graminoid","L48 (N), CAN (N)",""
"BOER4","","BOER4","Bouteloua eriopoda","","Bouteloua","","eriopoda","","","","","","","","","","","(Torr.) Torr.","","","","","USA (AZ, CA, CO, KS, NM, NV, OK, TX, UT, WY)","Perennial","Graminoid","L48 (N)","Mid Spring"
"BOGR2","","BOGR2","Bouteloua gracilis","","Bouteloua","","gracilis","","","","","","","","","","","(Willd. ex Kunth) Lag. ex Griffiths","","","","","USA (AZ, CA, CO, CT, FL, IA, ID, IL, KS, MA, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Graminoid","L48 (N), CAN (N)","Early Summer"
"BOHI2","","BOHI2","Bouteloua hirsuta","","Bouteloua","","hirsuta","","","","","","","","","","","Lag.","","","","","USA (AR, AZ, CO, FL, GA, IA, IL, KS, LA, MD, ME, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY)","Perennial","Graminoid","L48 (N)","Spring"
"BOHIH","","BOHIH","Bouteloua hirsuta var. hirsuta","","Bouteloua","","hirsuta","","","","var.","","hirsuta","","","","","Lag.","Lag.","","","","USA (AR, AZ, CO, FL, GA, IA, IL, KS, LA, MD, ME, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY)","Perennial","Graminoid","L48 (N)",""
"BOSI2","","BOSI2","Bouteloua simplex","","Bouteloua","","simplex","","","","","","","","","","","Lag.","","","","","USA (AZ, CO, KS, ME, NE, NM, TX, UT, WY)","Annual","Graminoid","L48 (N)",""
"BRACH3","","BRACH3","Brachypodium","","Brachypodium","","","","","","","","","","","","","","","","","","USA (CA, CO, HI, MA, NJ, OR, TX)","","","",""
"BRDI2","","BRDI2","Brachypodium distachyon","","Brachypodium","","distachyon","","","","","","","","","","","(L.) P. Beauv.","","","","","USA (CA, CO, HI, NJ, OR, TX)","Annual","Graminoid","L48 (I), HI (I)",""
"BRASS2","","BRASS2","Brassica","","Brassica","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL)","","","",""
"BREL2","","BREL2","Brassica elongata","","Brassica","","elongata","","","","","","","","","","","Ehrh.","","","","","USA (CO, NV, OR)","Perennial","Forb/herb","L48 (I)",""
"BRJU","","BRJU","Brassica juncea","","Brassica","","juncea","","","","","","","","","","","(L.) Czern.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK)","Annual, Perennial","Forb/herb","L48 (I), AK (I), HI (I), PR (I), VI (I), CAN (I)","Early Spring"
"BRNA","","BRNA","Brassica napus","","Brassica","","napus","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, CA, CO, CT, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NH, NJ, NM, NV, NY, OH, OK, OR, RI, SC, TN, VA, VT, WA, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), DEN (GL)","Annual, Biennial","Forb/herb","L48 (I), AK (I), CAN (I), GL (I)","Early Spring"
"BRNI","","BRNI","Brassica nigra","","Brassica","","nigra","","","","","","","","","","","(L.) W.D.J. Koch","","","","","USA (AL, AZ, CA, CO, CT, DC, DE, FL, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK)","Annual","Forb/herb","L48 (I), HI (I), CAN (I)",""
"BRRA","","BRRA","Brassica rapa","","Brassica","","rapa","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL)","Annual, Biennial","Forb/herb","L48 (I), AK (I), HI (I), CAN (I), GL (I)","Late Spring"
"BRRAR","","BRRAR","Brassica rapa var. rapa","","Brassica","","rapa","","","","var.","","rapa","","","","","L.","L.","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL)","Annual, Biennial","Forb/herb","L48 (I), AK (I), CAN (I), GL (I)",""
"BRAYA","","BRAYA","Braya","","Braya","","","","","","","","","","","","","","","","","","USA (AK, CO, WY), CAN (AB, BC, LB, NF, NT, NU, QC, YT), DEN (GL)","","","",""
"BRGL","","BRGL","Braya glabella","","Braya","","glabella","","","","","","","","","","","Richardson","","","","","USA (AK, CO, WY), CAN (AB, BC, LB, NT, NU, QC, YT), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"BRGLG","","BRGLG","Braya glabella ssp. glabella","","Braya","","glabella","ssp.","","glabella","","","","","","","","Richardson","Richardson","","","","USA (AK, CO, WY), CAN (AB, BC, LB, NT, NU, QC, YT), DEN (GL)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"BRICK","","BRICK","Brickellia","","Brickellia","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (AB, BC)","","","",""
"BRBR2","","BRBR2","Brickellia brachyphylla","","Brickellia","","brachyphylla","","","","","","","","","","","(A. Gray) A. Gray","","","","","USA (AZ, CO, KS, NM, OK, TX)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"BRCA3","","BRCA3","Brickellia californica","","Brickellia","","californica","","","","","","","","","","","(Torr. & A. Gray) A. Gray","","","","","USA (AZ, CA, CO, ID, NM, NV, OK, OR, TX, UT)","Perennial","Subshrub, Shrub","L48 (N)",""
"BRCAC","","BRCAC","Brickellia californica var. californica","","Brickellia","","californica","","","","var.","","californica","","","","","(Torr. & A. Gray) A. Gray","(Torr. & A. Gray) A. Gray","","","","USA (AZ, CA, CO, ID, NM, NV, OK, OR, TX, UT)","Perennial","Subshrub, Shrub","L48 (N)",""
"BREU","","BREU","Brickellia eupatorioides","","Brickellia","","eupatorioides","","","","","","","","","","","(L.) Shinners","","","","","USA (AL, AR, AZ, CO, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, OH, OK, PA, SC, SD, TN, TX, UT, VA, WI, WV, WY)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"BREUC2","","BREUC2","Brickellia eupatorioides var. chlorolepis","","Brickellia","","eupatorioides","","","","var.","","chlorolepis","","","","","(L.) Shinners","(Wooton & Standl.) B.L. Turner","","","","USA (AZ, CO, NM, OK, TX, UT, WY)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"BREUC","","BREUC","Brickellia eupatorioides var. corymbulosa","","Brickellia","","eupatorioides","","","","var.","","corymbulosa","","","","","(L.) Shinners","(Torr. & A. Gray) Shinners","","","","USA (AR, CO, IA, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, OH, OK, SD, TX, WI, WY)","Perennial","Subshrub, Forb/herb","L48 (N)",""
